Location ID,Location,Value,1981-2010 Mean,Anomaly (1981-2010 base period)
USW00013877,"Johnson City, Tennessee",68.9,67.7,1.2
USW00013891,"Knoxville, Tennessee",71.4,72,-0.6
USW00013893,"Memphis, Tennessee",75.4,75.6,-0.2
USW00013897,"Nashville, Tennessee",73.2,72.9,0.3
USW00013962,"Abilene, Texas",75.7,77.2,-1.5
USW00023047,"Amarillo, Texas",70.5,70.9,-0.4
,"Arlington, Texas",77.8,77.7,0.1
USW00013958,"Austin, Texas",80.9,80.2,0.7
USW00012919,"Brownsville, Texas",82.9,82.4,0.5
USH00412015,"Corpus Christi, Texas",81,80.7,0.3
USW00013960,"Dallas, Texas",80,79.7,0.3
USW00022010,"Del Rio, Texas",81,81.7,-0.7
USH00412797,"El Paso, Texas",79,77.8,1.2
USW00012918,"Houston, Texas",81.4,80.2,1.2
USW00023042,"Lubbock, Texas",73.7,73.4,0.3
USW00023023,"Midland, Texas",77.8,77.3,0.5
USH00417945,"San Antonio, Texas",80.2,80,0.2
USW00013966,"Wichita Falls, Texas",75.7,76.5,-0.8
USW00093129,"Cedar City, Utah",64.4,63.4,1
USW00024127,"Salt Lake City, Utah",70.7,68.8,1.9
USH00431081,"Burlington, Vermont",64.7,62.8,1.9
USW00094705,"Montpelier, Vermont",59.5,57.5,2
USH00446139,"Norfolk, Virginia",74.6,72.7,1.9
USW00013740,"Richmond, Virginia",72.2,70.4,1.8
USW00013741,"Roanoke, Virginia",70.3,69.4,0.9
USW00024227,"Olympia, Washington",59.9,58,1.9
USW00024233,"Seattle, Washington",62.7,61.2,1.5
USH00457938,"Spokane, Washington",63.3,61.2,2.1
USW00024243,"Yakima, Washington",66.3,64.2,2.1
USW00003872,"Beckley, West Virginia",64.6,64.5,0.1
USW00013866,"Charleston, West Virginia",68.7,68.2,0.5
USW00013729,"Elkins, West Virginia",64,63.4,0.6
USW00003860,"Huntington, West Virginia",68.9,68.6,0.3
USW00014898,"Green Bay, Wisconsin",62.6,61.1,1.5
USW00014920,"La Crosse, Wisconsin",66.9,65.8,1.1
USW00014837,"Madison, Wisconsin",63.6,62.7,0.9
USW00014839,"Milwaukee, Wisconsin",65.3,64,1.3
USW00014897,"Wausau, Wisconsin",60.8,60.4,0.4
USW00024089,"Casper, Wyoming",59.4,59.3,0.1
USH00481675,"Cheyenne, Wyoming",59.9,59.5,0.4
USW00024021,"Lander, Wyoming",-99,-99,-99
USW00024029,"Sheridan, Wyoming",60.1,59,1.1
USW00093738,"Washington (Dulles), Washington, D.C.",69.4,68.8,0.6
USW00013743,"Washington, District of Columbia",73.2,71.9,1.3
RQW00011641,"San Juan, Puerto Rico",83.6,82.1,1.5
